UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.25.39.821	3	0	0	49.3869995113973	68.09	0.5	0	0	0
02.25.40.831	3	0	0	49.3869995113973	68.09	0.5	0	0	0
02.25.41.840	3	0	0	49.3869995113973	68.09	0.5	0	0	0
02.25.41.845	7	0	0	0	0	0.5	0	0	0
02.25.42.854	3	0.999000999000999	2.71631568431568	49.3869995113973	68.09	0.5	0	0	0
02.25.42.859	7	0	0	0	0	0.5	0	0	0
02.25.43.867	3	9	24.572088	50.8255732417103	70.17	0.5	0	0	0
02.25.43.872	7	0	0	0	0	0.5	0	0	0
02.25.44.882	3	12.987012987013	35.4653106893107	48.9725128873586	62.96	0.5	0	0	0
02.25.44.886	7	0	0	0	0	0.5	0	0	0
02.25.45.896	3	11.988011988012	32.8148091908092	49.6498889223083	52.14	0.5	0	0	0
02.25.45.900	7	0	0	0	0	0.5	0	0	0
02.25.46.909	3	10.989010989011	30.1087792207792	58.4134887424127	51.78	0.5	0	0	0
02.25.46.913	7	0	0	0	0	0.5	0	0	0
02.25.47.924	3	9.99000999000999	27.3417542457542	49.0716928601	51.89	0.5	0	0	0
02.25.47.929	7	0	0	0	0	0.5	0	0	0
02.25.48.937	3	16	43.808352	143.521226069532	70.89	0.5	0	0	0
02.25.48.942	7	0	0	0	0	0.5	0	0	0
02.25.49.951	3	16	43.863432	102.471428241365	78.22	0.5	0	0	0
02.25.49.956	7	0	0	0	0	0.5	0	0	0
02.25.50.966	3	13.9720558882236	38.2251497005988	49.55052904401	79.7	0.5	0	0	0
02.25.50.970	7	0	0	0	0	0.5	0	0	0
02.25.51.981	3	13.986013986014	38.396043956044	54.4731781328762	93.13	0.5	0	0	0
02.25.51.985	7	0	0	0	0	0.5	0	0	0
02.25.52.996	3	18.9620758483034	51.9798562874252	60.6143511702657	93.54	0.5	0	0	0
02.25.53.000	7	0	0	0	0	0.5	0	0	0
02.25.54.010	3	29.97002997003	82.1285514485514	57.3901878126099	82.34	0.5	0	0	0
02.25.54.014	7	0	0	0	0	0.5	0	0	0
02.25.55.024	3	29.97002997003	82.5345134865135	55.4192009313918	66.84	0.5	0	0	0
02.25.55.029	7	0	0	0	0	0.5	0	0	0
02.25.56.038	3	29.97002997003	82.6343496503496	59.0819379374564	53.93	0.5	0	0	0
02.25.56.043	7	0	0	0	0	0.5	0	0	0
02.25.57.052	3	27.972027972028	77.0413906093906	102.245656907864	58.76	0.5	0	0	0
02.25.57.057	7	0	0	0	0	0.5	0	0	0
02.25.58.068	3	30.969030969031	90.8052587412587	53.8006311969652	62.48	0.5	0	0	0
02.25.58.073	7	0	0	0	0	0.5	0	0	0
02.25.59.083	3	29.97002997003	92.7431208791209	52.4876640093516	63.11	0.5	0	0	0
02.25.59.088	7	0	0	0	0	0.5	0	0	0
02.26.00.098	3	29.97002997003	92.4722397602398	63.6526036751342	63.67	0.5	0	0	0
02.26.00.102	7	0	0	0	0	0.5	0	0	0
02.26.01.114	3	29.97002997003	92.6786013986014	45.5273140690534	56.07	0.5	0	0	0
02.26.01.118	7	0	0	0	0	0.5	0	0	0
02.26.02.129	3	29.97002997003	92.2868091908092	50.4489569538527	55.07	0.5	0	0	0
02.26.02.134	7	0	0	0	0	0.5	0	0	0
02.26.03.144	3	29.97002997003	92.208983016983	54.0320452688718	54.3	0.5	0	0	0
02.26.03.149	7	0	0	0	0	0.5	0	0	0
02.26.04.159	3	28.971028971029	89.8307292707293	82.0338022485674	55.63	0.5	0	0	0
02.26.04.163	7	0	0	0	0	0.5	0	0	0
02.26.05.174	3	29.97002997003	93.5394365634366	52.9904220411869	58.44	0.5	0	0	0
02.26.05.178	7	0	0	0	0	0.5	0	0	0
02.26.06.187	3	31	96.667728	41.5050480728924	57.69	0.5	0	0	0
02.26.06.192	7	0	0	0	0	0.5	0	0	0
02.26.07.201	3	29.97002997003	93.0619060939061	52.4255737862597	57.91	0.5	0	0	0
02.26.07.207	7	0	0	0	0	0.5	0	0	0
02.26.08.216	3	29.97002997003	93.0107652347652	57.8141040070221	52.92	0.5	0	0	0
02.26.08.221	7	0	0	0	0	0.5	0	0	0
02.26.09.231	3	29.97002997003	92.3279520479521	38.0074251144692	53.21	0.5	0	0	40
02.26.09.236	7	0	0	0	0	0.5	0	0	40
